TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
176319,False,1.714369,0.000138,0.0,0.0
176999,True,1.074646,1.110569,1.148625,1.139541
177319,False,2.119151,6.9e-05,0.0,0.0
177999,True,1.074577,1.110362,1.148143,1.139678
178319,False,2.314591,6.9e-05,0.0,0.0
178999,True,1.074577,1.110156,1.14828,1.13961
179319,False,2.53687,6.9e-05,0.0,0.0
179999,True,1.074646,1.110362,1.148349,1.139541
180319,False,2.819364,6.9e-05,0.0,0.0
180999,True,1.074509,1.110362,1.148418,1.139334
181319,False,3.100619,6.9e-05,0.0,0.0
181731,False,1.074646,1.110087,1.148143,1.139541
181999,True,1.074371,1.110362,1.148212,1.139472
182315,False,1.074646,1.110156,1.148212,1.139472
182319,False,0.0,0.000206,0.0,0.0
182999,True,1.074371,1.110362,1.148212,1.139265
183319,False,0.284765,6.9e-05,0.0,0.0
183999,True,1.074302,1.110225,1.148349,1.139403
184319,False,0.744875,6.9e-05,0.0,0.0
184999,True,1.074509,1.110293,1.14828,1.139472
185319,False,0.845623,6.9e-05,0.0,0.0
185999,True,1.074509,1.110156,1.14828,1.139472
186319,False,1.201201,6.9e-05,0.0,0.0
186565,False,1.074509,1.110293,1.148418,1.139334
186999,True,1.074577,1.110362,1.14828,1.139403
187319,False,1.51535,0.000138,0.0,0.0
187999,True,1.074646,1.110225,1.14828,1.139472
188319,False,1.714369,6.9e-05,0.0,0.0
188363,False,1.074509,1.110293,1.148143,1.139197
188999,True,1.074646,1.110087,1.148143,1.139541
189319,False,2.119151,0.000138,0.0,0.0
189999,True,1.074509,1.110087,1.148143,1.139472
190319,False,2.314316,6.9e-05,0.0,0.0
190999,True,1.074577,1.110362,1.148487,1.139265
191319,False,2.53687,6.9e-05,0.0,0.0
191999,True,1.07444,1.110156,1.148143,1.139472
192319,False,2.819364,6.9e-05,0.0,0.0
192945,False,4.406559,0.0,0.0,0.0
192994,False,1.616649,1.27105,1.217786,1.166517
192999,True,1.074302,1.110225,1.148349,1.139403
193025,False,2.651863,2.685652,2.901187,2.687992
193122,False,1.07444,1.110431,1.148418,1.139403
193146,False,1.07444,1.110293,1.148143,1.139265
193185,False,1.074233,1.110156,1.148349,1.139403
193268,False,2.504319,2.425249,2.342393,2.339365
193314,False,1.074853,1.110225,1.148212,1.139403
193340,False,1.628898,1.188126,1.148762,1.140229
193342,False,2.288096,2.191959,2.169662,2.194024
193344,False,1.075266,1.112427,1.148625,1.140779
193399,False,1.074509,1.110225,1.148212,1.139334
193445,False,1.074577,1.110362,1.14828,1.139059
193467,False,1.07444,1.110293,1.148143,1.139334
193551,False,1.07444,1.110431,1.14828,1.139403
193578,False,2.100983,2.008975,1.8999,1.935409
193713,False,1.074509,1.110293,1.148418,1.139197
193750,False,1.235953,1.111188,1.148693,1.13961
193758,False,2.165189,2.141447,2.055564,2.002506
193764,False,1.689389,1.366086,1.149794,1.143463
193766,False,2.497231,2.431373,2.389464,2.381412
193811,False,3.007853,3.011776,2.926787,2.89286
193828,False,1.074509,1.110293,1.14828,1.139334
193888,False,1.144496,1.110844,1.1489,1.140229
