TimeStamp,Channel1,Channel2,Channel3,Channel4
218788356.000,52111.000,37782.000,34191.000,45192.000
218788356.000,52336.000,28745.000,9797.000,47687.000
218788356.000,58939.000,34877.000,34111.000,34367.000
218788356.000,61538.000,50238.000,44863.000,34882.000
218788356.000,63163.000,54716.000,10167.000,62395.000
218788357.000,3338.000,31840.000,30202.000,27576.000
218788357.000,3489.000,4255.000,47760.000,62354.000
218788357.000,4493.000,11139.000,51329.000,3975.000
218788357.000,7069.000,26010.000,49034.000,59789.000
218788357.000,8633.000,44984.000,23455.000,37282.000
218788357.000,10373.000,23420.000,17277.000,44674.000
218788357.000,21168.000,18087.000,2458.000,8612.000
218788357.000,28347.000,4794.000,45994.000,45485.000
218788357.000,34680.000,25200.000,49997.000,61791.000
218788357.000,35677.000,57922.000,33100.000,24409.000
218788357.000,37766.000,50056.000,45694.000,49272.000
218788357.000,41065.000,50771.000,18239.000,34879.000
218788357.000,45141.000,27221.000,43589.000,27968.000
218788357.000,46455.000,10097.000,49253.000,8041.000
218788357.000,59729.000,44619.000,43583.000,34879.000
218788357.000,60872.000,32200.000,9411.000,34497.000
218788357.000,61077.000,42386.000,19850.000,50061.000
218788358.000,13698.000,25984.000,30581.000,59765.000
218788358.000,17013.000,55411.000,32603.000,19538.000
218788358.000,22948.000,14508.000,35758.000,39080.000
218788358.000,27963.000,35133.000,33855.000,34111.000
218788358.000,36411.000,34109.000,34367.000,34367.000
218788358.000,38758.000,34369.000,23615.000,35666.000
218788358.000,53140.000,23187.000,51587.000,63106.000
218788358.000,59821.000,31651.000,61089.000,23722.000
218788359.000,3528.000,23495.000,38332.000,25281.000
218788359.000,13000.000,15815.000,45236.000,58808.000
218788359.000,17339.000,35526.000,30389.000,63665.000
218788359.000,21307.000,34621.000,33855.000,34367.000
218788359.000,24008.000,5319.000,51139.000,5569.000
218788359.000,26171.000,33597.000,33343.000,34367.000
218788359.000,28054.000,1937.000,38534.000,44425.000
218788359.000,34422.000,30322.000,60758.000,63063.000
218788359.000,34620.000,39234.000,17731.000,51011.000
218788359.000,42299.000,34365.000,33599.000,34623.000
218788359.000,50300.000,57721.000,62582.000,3190.000
218788359.000,53117.000,2938.000,26486.000,39030.000
218788359.000,64968.000,28103.000,63939.000,25281.000
218788360.000,1679.000,65420.000,28798.000,895.000
218788360.000,5021.000,21142.000,45956.000,64393.000
218788360.000,11599.000,20809.000,61759.000,34623.000
218788360.000,12158.000,13178.000,37494.000,38519.000
218788360.000,24671.000,20571.000,9556.000,14674.000
218788360.000,30779.000,34621.000,34111.000,34367.000
218788360.000,31124.000,33434.000,34715.000,35991.000
218788360.000,57270.000,30137.000,56232.000,4263.000
218788360.000,58738.000,47459.000,10346.000,8304.000
218788360.000,59296.000,58781.000,21409.000,30884.000
218788361.000,6262.000,62579.000,9843.000,24179.000
218788361.000,13668.000,51265.000,14911.000,33344.000
218788361.000,25500.000,18585.000,29579.000,43405.000
218788361.000,27553.000,54169.000,4506.000,51617.000
218788361.000,48187.000,34621.000,34623.000,34367.000
218788361.000,49608.000,32699.000,25519.000,39873.000
218788361.000,53096.000,12904.000,15430.000,9791.000
218788361.000,58259.000,10888.000,58754.000,18058.000
218788365.000,2599.000,36087.000,36899.000,36417.000
218788365.000,2664.000,35405.000,35893.000,33679.000
218788365.000,2683.000,15238.000,15748.000,16259.000
218788365.000,2705.000,15238.000,15750.000,16259.000
218788365.000,2707.000,39228.000,38632.000,36888.000
218788365.000,2712.000,43021.000,2733.000,15522.000
218788365.000,2752.000,51276.000,51240.000,50048.000
218788365.000,2773.000,36607.000,33372.000,30657.000
218788363.000,4483.000,39558.000,45451.000,31872.000
218788363.000,5235.000,32621.000,2919.000,34665.000
