TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
278345.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,nan,23.0,0.0,0.0
279345.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,35.0,0.0,0.0
280345.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
281345.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
282345.0,2.0,nan,nan,18.314016000000024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,0.0,0.0
283345.0,3.0,nan,nan,nan,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
284345.0,4.0,nan,nan,nan,nan,1.19894544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.0,0.0,0.0
285345.0,5.0,nan,nan,nan,nan,nan,2.36926592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
286345.0,6.0,nan,nan,nan,nan,nan,nan,0.37102352,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,0.0,0.0
287345.0,7.0,nan,nan,nan,nan,nan,nan,nan,3.3138896,nan,nan,nan,nan,nan,nan,nan,nan,44.0,0.0,0.0
288345.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,1.02169088,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
289345.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,28.0,0.0,0.0
290345.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,nan,35.0,0.0,0.0
291345.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,28.0,0.0,0.0
292345.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
293345.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.0,0.0,0.0
294345.0,2.0,nan,nan,18.314016000000024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
295345.0,3.0,nan,nan,nan,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
296345.0,4.0,nan,nan,nan,nan,1.183532,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
297345.0,5.0,nan,nan,nan,nan,nan,2.37146784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.0,0.0,0.0
298345.0,6.0,nan,nan,nan,nan,nan,nan,0.36992256,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
299345.0,7.0,nan,nan,nan,nan,nan,nan,nan,3.3138896,nan,nan,nan,nan,nan,nan,nan,nan,32.0,0.0,0.0
300345.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,1.02169088,nan,nan,nan,nan,nan,nan,nan,25.0,0.0,0.0
301345.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
302345.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,nan,32.0,0.0,0.0
303345.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,27.0,0.0,0.0
304345.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,0.0,0.0
305345.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,0.0,0.0
306345.0,2.0,nan,nan,18.314016000000024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
307345.0,3.0,nan,nan,nan,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
308345.0,4.0,nan,nan,nan,nan,1.19674352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
309345.0,5.0,nan,nan,nan,nan,nan,2.37036688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,0.0,0.0
