TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
175384999.0,4.0,nan,nan,nan,nan,1.24518576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50.0,0.0,0.0
175385999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175386999.0,6.0,nan,nan,nan,nan,nan,nan,0.37652832,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
175387999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175388999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82792192,nan,nan,nan,nan,nan,nan,nan,43.0,0.0,0.0
175389999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,43.0,0.0,0.0
175390999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,42.0,0.0,0.0
175391999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,26.0,0.0,0.0
175392999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48.0,0.0,0.0
175393999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175394999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.0,0.0,0.0
175395999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175396999.0,4.0,nan,nan,nan,nan,1.23747904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
175397999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175398999.0,6.0,nan,nan,nan,nan,nan,nan,0.37762928,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.0,0.0,0.0
175399999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,43.0,0.0,0.0
175400999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82682096,nan,nan,nan,nan,nan,nan,nan,43.0,0.0,0.0
175401999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175402999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,30.0,0.0,0.0
175403999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,50.0,0.0,0.0
175404999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
175405999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
175406999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,0.0,0.0
175407999.0,3.0,nan,nan,nan,33.06688000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48.0,0.0,0.0
175408999.0,4.0,nan,nan,nan,nan,1.27050784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175409999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,0.0,0.0
175410999.0,6.0,nan,nan,nan,nan,nan,nan,0.37762928,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,0.0,0.0
175411999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175412999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.8301238400000001,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175413999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,48.0,0.0,0.0
175414999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,40.0,0.0,0.0
175415999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,36.0,0.0,0.0
